issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_048,HDF_HDFC_Money_048,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_049,HDF_HDFC_Money_049,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,700.0,700.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_050,HDF_HDFC_Money_050,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_051,HDF_HDFC_Money_051,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_052,HDF_HDFC_Money_052,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_053,HDF_HDFC_Money_053,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_054,HDF_HDFC_Money_054,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_055,HDF_HDFC_Money_055,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_056,HDF_HDFC_Money_056,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_057,HDF_HDFC_Money_057,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_058,HDF_HDFC_Money_058,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_059,HDF_HDFC_Money_059,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_060,HDF_HDFC_Money_060,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_061,HDF_HDFC_Money_061,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_062,HDF_HDFC_Money_062,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_063,HDF_HDFC_Money_063,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_064,HDF_HDFC_Money_064,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_065,HDF_HDFC_Money_065,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_066,HDF_HDFC_Money_066,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_067,HDF_HDFC_Money_067,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_068,HDF_HDFC_Money_068,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_069,HDF_HDFC_Money_069,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_070,HDF_HDFC_Money_070,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_071,HDF_HDFC_Money_071,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_072,HDF_HDFC_Money_072,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Enhanced cashback weekends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_073,HDF_HDFC_Money_073,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_074,HDF_HDFC_Money_074,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Extra miles on travel portals,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_075,HDF_HDFC_Money_075,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_076,HDF_HDFC_Money_076,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,400.0,400.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus points on utility bills,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_077,HDF_HDFC_Money_077,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants | Bonus on grocery spends,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_078,HDF_HDFC_Money_078,True
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,600.0,600.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,VAR_079,HDF_HDFC_Money_079,True
